Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
131978,False,115.0,False,4.9,252.0,DK
61562,False,100.0,True,4.79,350.0,Fingering
18348,False,114.0,False,4.65,1260.0,Lace
35940,True,115.0,True,4.53,355.0,Sport
138962,False,100.0,False,4.86,400.0,Fingering
144810,False,100.0,False,4.86,400.0,Light Fingering
99288,False,100.0,True,4.82,465.0,Light Fingering
101583,False,100.0,False,4.64,260.0,DK
55238,False,,False,4.73,465.0,Fingering
3301,False,100.0,True,4.4,450.0,Fingering
4617,False,125.0,False,4.58,546.0,Light Fingering
92373,False,100.0,True,4.53,393.0,Fingering
91781,False,100.0,True,4.73,465.0,Fingering
144694,False,100.0,True,4.88,400.0,Fingering
129843,False,100.0,True,4.84,437.0,Fingering
22076,False,100.0,True,4.53,400.0,Light Fingering
125414,False,205.0,False,4.9,240.0,Bulky
110466,False,397.0,True,4.74,1750.0,Light Fingering
72172,False,100.0,False,4.58,437.0,Fingering
126820,False,114.0,True,4.79,275.0,DK
118106,False,100.0,False,4.71,437.0,Fingering
168069,False,100.0,False,4.89,150.0,Aran
131988,False,235.0,True,4.84,560.0,Fingering
75484,False,100.0,False,4.93,390.0,Fingering
33887,True,113.0,True,4.72,360.0,Fingering
118471,False,100.0,False,4.69,240.0,DK
8485,True,107.0,True,4.11,420.0,Fingering
74180,False,100.0,True,4.8,437.0,Fingering
123016,True,,True,4.69,420.0,Fingering
3790,False,226.0,True,4.56,560.0,Worsted
62037,False,113.0,False,4.7,280.0,DK
73593,False,100.0,True,4.84,400.0,Fingering
23300,False,113.0,False,4.45,400.0,Fingering
4100,True,114.0,True,4.5,550.0,Light Fingering
114973,False,100.0,True,4.81,435.0,Fingering
3428,False,100.0,True,4.6,459.0,Light Fingering
104134,True,115.0,False,4.83,750.0,Lace
131709,False,100.0,True,4.85,463.0,Light Fingering
3571,True,113.0,True,4.32,450.0,Fingering
121619,False,115.0,True,4.78,280.0,DK
94904,True,75.0,False,4.4,322.0,Fingering
4713,False,100.0,True,4.55,265.0,DK
130881,False,100.0,False,4.67,450.0,Light Fingering
155469,False,100.0,True,4.91,465.0,Light Fingering
88393,False,100.0,False,4.98,409.0,Fingering
78476,False,100.0,False,4.43,820.0,Lace
103782,False,100.0,True,4.79,400.0,Fingering
7650,False,100.0,False,4.56,350.0,DK
65315,False,114.0,False,4.77,420.0,Fingering
127032,False,100.0,True,4.31,222.0,Worsted
122982,False,100.0,True,4.75,437.0,Fingering
120816,False,100.0,True,4.71,459.0,Light Fingering
124014,False,,False,4.74,205.0,DK
93322,False,200.0,False,4.81,875.0,Fingering
35184,False,100.0,False,4.65,459.0,Light Fingering
12176,False,50.0,True,4.43,130.0,DK
152666,False,,True,4.81,400.0,Sport
117809,False,100.0,True,4.91,400.0,Fingering
32042,False,100.0,False,4.61,1200.0,Lace
127559,False,114.0,True,4.82,252.0,DK
125941,False,100.0,True,4.62,120.0,Bulky
117802,True,100.0,True,4.65,385.0,Sport
38328,False,76.0,False,4.7,250.0,Sport
26765,True,155.0,True,4.53,450.0,Fingering
126578,False,115.0,True,4.88,250.0,DK
